beverage,year,month,quantity
Fuze Diet Apricot 500ml,2021,11,2.462698788594909
Fuze Diet Apricot 500ml,2021,12,5.152583380853033
Fuze Diet Apricot 500ml,2022,1,8.326432911213676
Fuze Diet Apricot 500ml,2022,2,9.342165249018121
Fuze Diet Apricot 500ml,2022,3,0.61526156046482
Fuze Diet Apricot 500ml,2022,4,17.371890379905533
Fuze Diet Apricot 500ml,2022,5,1.2844772321856865
Fuze Diet Apricot 500ml,2022,6,2.0701418518231534
Fuze Diet Apricot 500ml,2022,7,3.302850900885149
Fuze Diet Apricot 500ml,2022,8,0.8827074214218332
Fuze Diet Apricot 500ml,2022,9,1.3307266856134485
Fuze Diet Apricot 500ml,2022,10,5.373739217110694
Fuze Diet Apricot 500ml,2022,11,5.072977552787084
Fuze Diet Apricot 500ml,2022,12,10.200701007004103
Fuze Tea Apricot 500ml,2021,1,3.5954294304867846
Fuze Tea Apricot 500ml,2021,2,4.301142565865694
Fuze Tea Apricot 500ml,2021,3,4.061858806504997
Fuze Tea Apricot 500ml,2021,4,3.3180466333655048
Fuze Tea Apricot 500ml,2021,5,5.89261183998248
Fuze Tea Apricot 500ml,2021,6,2.2914301357709714
Fuze Tea Apricot 500ml,2021,7,5.967128959277478
Fuze Tea Apricot 500ml,2021,8,4.4433898845421
Fuze Tea Apricot 500ml,2021,9,3.0476915253588945
Fuze Tea Apricot 500ml,2021,10,5.253975163992838
Fuze Tea Apricot 500ml,2021,11,5.619879903838324
Fuze Tea Apricot 500ml,2021,12,5.329329802546674
Fuze Tea Apricot 500ml,2022,1,3.2862450084276897
Fuze Tea Apricot 500ml,2022,2,3.699179102649292
Fuze Tea Apricot 500ml,2022,3,1.9874084831352166
Fuze Tea Apricot 500ml,2022,4,2.783837124831144
Fuze Tea Apricot 500ml,2022,5,4.311922829545416
Fuze Tea Apricot 500ml,2022,6,3.0771512203009066
Fuze Tea Apricot 500ml,2022,7,4.184165054104175
Fuze Tea Apricot 500ml,2022,8,2.975536394176113
Fuze Tea Apricot 500ml,2022,9,1.9791476326078377
Fuze Tea Apricot 500ml,2022,10,4.060438216032845
Fuze Tea Apricot 500ml,2022,11,4.015796942254685
Fuze Tea Apricot 500ml,2022,12,4.190001178646256
Grape 500ml,2021,1,1.8202383892454757
Grape 500ml,2021,2,4.853521904816742
Grape 500ml,2021,3,2.1628689445047513
Grape 500ml,2021,4,1.6837190231327708
Grape 500ml,2021,5,1.9326603384677299
Grape 500ml,2021,6,2.8268488140961474
Grape 500ml,2021,7,3.456864826509132
Grape 500ml,2021,8,1.3696331538401605
Grape 500ml,2021,9,2.363830496421514
Grape 500ml,2021,10,1.5139977912757674
Grape 500ml,2021,11,2.3403515991295665
Grape 500ml,2021,12,2.181050150679456
Grape 500ml,2022,1,2.211614864520263
Grape 500ml,2022,2,4.41948102192423
Grape 500ml,2022,3,3.0944179428385903
Grape 500ml,2022,4,1.7333802312183642
Grape 500ml,2022,5,2.3866520809428864
Grape 500ml,2022,6,3.3750915670180643
Grape 500ml,2022,7,3.7035003824409407
Grape 500ml,2022,8,0.5344150319879144
Grape 500ml,2022,9,2.994611428320824
Grape 500ml,2022,10,1.8745515288017645
Grape 500ml,2022,11,3.031921758212911
Grape 500ml,2022,12,2.1676415675815663
Grapefruit 500ml,2021,1,1.6585451907097006
Grapefruit 500ml,2021,2,1.1926736345715765
Grapefruit 500ml,2021,3,1.0457705446691772
Grapefruit 500ml,2021,4,1.1714053083930978
Grapefruit 500ml,2021,5,0.7748485050388152
Grapefruit 500ml,2021,6,1.2918554932244992
Grapefruit 500ml,2021,7,1.5668971398347358
Grapefruit 500ml,2021,8,1.174775934163172
Grapefruit 500ml,2021,9,0.49255354057721673
Grapefruit 500ml,2021,10,0.770247645807799
Grapefruit 500ml,2021,11,0.891948399109965
Grapefruit 500ml,2021,12,0.5539017225449403
Grapefruit 500ml,2022,1,1.1181565036758776
Grapefruit 500ml,2022,2,0.9000852001784325
Grapefruit 500ml,2022,3,1.3952564359810764
Grapefruit 500ml,2022,4,0.6985883529065622
Grapefruit 500ml,2022,5,0.8179845355878046
Grapefruit 500ml,2022,6,1.2929302143505115
Grapefruit 500ml,2022,7,1.4841031708524464
Grapefruit 500ml,2022,8,0.6331618185638732
Grapefruit 500ml,2022,9,0.48334836398195336
Grapefruit 500ml,2022,10,0.7547820547525176
Grapefruit 500ml,2022,11,1.0369406899395088
Grapefruit 500ml,2022,12,0.5635468414651854
Sprite 500ml,2021,1,0.0
Sprite 500ml,2021,2,0.0
Sprite 500ml,2021,3,8.069259278075038e-10
Sprite 500ml,2021,4,0.0
Sprite 500ml,2021,5,3.8019913789626195e-09
Sprite 500ml,2021,6,0.0
Sprite 500ml,2021,7,2.747214192911223e-09
Sprite 500ml,2021,8,1.3582336533204e-07
Sprite 500ml,2021,9,0.0
Sprite 500ml,2021,10,1.909859604274748e-08
Sprite 500ml,2021,11,0.0
Sprite 500ml,2021,12,0.0
Sprite 500ml,2022,1,0.0
Sprite 500ml,2022,2,3.972481625278633e-15
Sprite 500ml,2022,3,0.0
Sprite 500ml,2022,4,0.0
Sprite 500ml,2022,5,3.816591394265168e-15
Sprite 500ml,2022,6,0.0
Sprite 500ml,2022,7,1.0799337945989158e-14
Sprite 500ml,2022,8,1.5835546678412425e-07
Sprite 500ml,2022,9,3.341862647688202e-15
Sprite 500ml,2022,10,4.612478504885109e-15
Sprite 500ml,2022,11,0.0
