beverage,year,month,quantity
Fuze Diet Apricot 500ml,2021,11,1.3535416666666669
Fuze Diet Apricot 500ml,2021,12,1.3542460317460316
Fuze Diet Apricot 500ml,2022,1,1.222355158730159
Fuze Diet Apricot 500ml,2022,2,1.2125099206349208
Fuze Diet Apricot 500ml,2022,3,1.2297599206349206
Fuze Diet Apricot 500ml,2022,4,1.177968253968254
Fuze Diet Apricot 500ml,2022,5,1.3161884920634923
Fuze Diet Apricot 500ml,2022,6,1.427755952380952
Fuze Diet Apricot 500ml,2022,7,1.6301944444444445
Fuze Diet Apricot 500ml,2022,8,1.4657559523809518
Fuze Diet Apricot 500ml,2022,9,1.3609718253968246
Fuze Diet Apricot 500ml,2022,10,1.2604980158730157
Fuze Diet Apricot 500ml,2022,11,1.4022003968253967
Fuze Diet Apricot 500ml,2022,12,1.266406746031746
Fuze Tea Apricot 500ml,2021,1,5.878582431457432
Fuze Tea Apricot 500ml,2021,2,6.121729104229106
Fuze Tea Apricot 500ml,2021,3,5.505392857142857
Fuze Tea Apricot 500ml,2021,4,5.566749098124099
Fuze Tea Apricot 500ml,2021,5,6.2654502442002435
Fuze Tea Apricot 500ml,2021,6,6.531801587301584
Fuze Tea Apricot 500ml,2021,7,6.46488278388278
Fuze Tea Apricot 500ml,2021,8,6.177727272727274
Fuze Tea Apricot 500ml,2021,9,6.028313492063493
Fuze Tea Apricot 500ml,2021,10,6.574435606060607
Fuze Tea Apricot 500ml,2021,11,6.659246961371963
Fuze Tea Apricot 500ml,2021,12,6.758187437562437
Fuze Tea Apricot 500ml,2022,1,6.117907828282831
Fuze Tea Apricot 500ml,2022,2,6.143641955266958
Fuze Tea Apricot 500ml,2022,3,5.528795634920634
Fuze Tea Apricot 500ml,2022,4,5.558759018759019
Fuze Tea Apricot 500ml,2022,5,6.552712301587301
Fuze Tea Apricot 500ml,2022,6,6.376704212454212
Fuze Tea Apricot 500ml,2022,7,6.749047619047616
Fuze Tea Apricot 500ml,2022,8,6.13559235209235
Fuze Tea Apricot 500ml,2022,9,5.866259920634918
Fuze Tea Apricot 500ml,2022,10,6.7003144216894235
Fuze Tea Apricot 500ml,2022,11,6.740157675657677
Fuze Tea Apricot 500ml,2022,12,6.7413421994672005
Grape 500ml,2021,1,1.571210317460318
Grape 500ml,2021,2,1.3239341269841274
Grape 500ml,2021,3,1.3895783068783074
Grape 500ml,2021,4,1.253070767195767
