beverage,year,month,quantity
Fuze Diet Apricot 500ml,2021,12,1.0456645682629149
Fuze Diet Apricot 500ml,2022,1,0.0
Fuze Diet Apricot 500ml,2022,2,0.0
Fuze Diet Apricot 500ml,2022,3,2.217895499319665
Fuze Diet Apricot 500ml,2022,4,0.0
Fuze Diet Apricot 500ml,2022,5,0.5742420084814864
Fuze Diet Apricot 500ml,2022,6,2.177626079795018
Fuze Diet Apricot 500ml,2022,7,0.0
Fuze Diet Apricot 500ml,2022,8,5.59475606549642
Fuze Diet Apricot 500ml,2022,9,2.381923770975061
Fuze Diet Apricot 500ml,2022,10,0.0
Fuze Diet Apricot 500ml,2022,11,0.0
Fuze Diet Apricot 500ml,2022,12,0.0
Fuze Tea Apricot 500ml,2021,1,2.242816335294787
Fuze Tea Apricot 500ml,2021,2,4.4348053167246855
Fuze Tea Apricot 500ml,2021,3,3.2168157005178735
Fuze Tea Apricot 500ml,2021,4,3.8425934874424064
Fuze Tea Apricot 500ml,2021,5,4.620931494008524
Fuze Tea Apricot 500ml,2021,6,1.02731805435955
Fuze Tea Apricot 500ml,2021,7,4.695725965353471
Fuze Tea Apricot 500ml,2021,8,3.4682154599708968
Fuze Tea Apricot 500ml,2021,9,3.6832159789993284
Fuze Tea Apricot 500ml,2021,10,5.200100069789879
Fuze Tea Apricot 500ml,2021,11,5.128120519234014
Fuze Tea Apricot 500ml,2021,12,5.230102968034047
Fuze Tea Apricot 500ml,2022,1,2.5928684355740828
Fuze Tea Apricot 500ml,2022,2,3.776130640150771
Fuze Tea Apricot 500ml,2022,3,1.475217612612655
Fuze Tea Apricot 500ml,2022,4,3.468719895094654
Fuze Tea Apricot 500ml,2022,5,3.912484022167866
Fuze Tea Apricot 500ml,2022,6,2.256251228300819
Fuze Tea Apricot 500ml,2022,7,3.5987223415425262
Fuze Tea Apricot 500ml,2022,8,2.406684543651345
Fuze Tea Apricot 500ml,2022,9,2.332022101865166
Fuze Tea Apricot 500ml,2022,10,4.1605249284918004
Fuze Tea Apricot 500ml,2022,11,3.701097738711126
Fuze Tea Apricot 500ml,2022,12,3.9162091499182723
Grape 500ml,2021,1,0.47159445347092666
Grape 500ml,2021,2,3.817036585716556
Grape 500ml,2021,3,1.2144733629793325
Grape 500ml,2021,4,1.4663291129105058
Grape 500ml,2021,5,1.0430351448336952
Grape 500ml,2021,6,1.6330240737773343
Grape 500ml,2021,7,1.7530565656124921
Grape 500ml,2021,8,0.1357718424069051
Grape 500ml,2021,9,2.155798463444954
Grape 500ml,2021,10,0.971092261535641
Grape 500ml,2021,11,1.256006017140961
Grape 500ml,2021,12,1.699479959210667
Grape 500ml,2022,1,1.0887046639547715
Grape 500ml,2022,2,3.527147768706408
Grape 500ml,2022,3,1.759894142211628
Grape 500ml,2022,4,1.6652222079984516
Grape 500ml,2022,5,1.525353127136151
Grape 500ml,2022,6,1.8438500762119931
Grape 500ml,2022,7,1.8857097143773047
Grape 500ml,2022,8,0.0
Grape 500ml,2022,9,2.752211069244891
Grape 500ml,2022,10,1.3278422660415148
Grape 500ml,2022,11,1.6501150507058429
Grape 500ml,2022,12,1.2805845771801927
Grapefruit 500ml,2021,1,0.7908385463384512
Grapefruit 500ml,2021,2,0.12423676640988147
Grapefruit 500ml,2021,3,1.059210629852968
Grapefruit 500ml,2021,4,1.0455734042278955
Grapefruit 500ml,2021,5,0.8662377586414256
Grapefruit 500ml,2021,6,1.0912194068054542
Grapefruit 500ml,2021,7,1.1148768486972056
Grapefruit 500ml,2021,8,1.56983566767774
Grapefruit 500ml,2021,9,0.570565094118592
Grapefruit 500ml,2021,10,0.8261288371886809
Grapefruit 500ml,2021,11,0.8845810120121955
Grapefruit 500ml,2021,12,0.5112180950305346
Grapefruit 500ml,2022,1,0.5384239650410924
Grapefruit 500ml,2022,2,0.18903636930658552
Grapefruit 500ml,2022,3,1.1139188061145255
Grapefruit 500ml,2022,4,0.5469978827078154
Grapefruit 500ml,2022,5,0.7108206105469657
Grapefruit 500ml,2022,6,0.8584587849293532
Grapefruit 500ml,2022,7,0.9591542503575432
Grapefruit 500ml,2022,8,1.0601015768716042
Grapefruit 500ml,2022,9,0.3514174431752256
Grapefruit 500ml,2022,10,0.588839862297344
Grapefruit 500ml,2022,11,0.7565239828874408
Grapefruit 500ml,2022,12,0.4928252440968384
Sprite 500ml,2021,1,0.0
Sprite 500ml,2021,2,0.0
Sprite 500ml,2021,3,4.831207601374928e-10
Sprite 500ml,2021,4,0.0
Sprite 500ml,2021,5,0.0
Sprite 500ml,2021,6,0.0
Sprite 500ml,2021,7,0.0
Sprite 500ml,2021,8,4.27868646595919e-08
Sprite 500ml,2021,9,4.6308105506996776e-09
Sprite 500ml,2021,10,0.0
Sprite 500ml,2021,11,0.0
Sprite 500ml,2021,12,0.0
Sprite 500ml,2022,1,0.0
Sprite 500ml,2022,2,0.0
Sprite 500ml,2022,3,0.0
Sprite 500ml,2022,4,0.0
Sprite 500ml,2022,5,0.0
Sprite 500ml,2022,6,0.0
Sprite 500ml,2022,7,0.0
Sprite 500ml,2022,8,6.655819550088616e-08
Sprite 500ml,2022,9,4.562541198105137e-09
Sprite 500ml,2022,10,0.0
Sprite 500ml,2022,11,0.0
Sprite 500ml,2022,12,0.0
Zero Sprite 500ml,2021,1,12.486906939727751
Zero Sprite 500ml,2021,2,2.900316389948868
Zero Sprite 500ml,2021,3,4.284359790832432
Zero Sprite 500ml,2021,4,2.5644099753496006
Zero Sprite 500ml,2021,5,4.715264853483539
Zero Sprite 500ml,2021,6,8.954454726378868
Zero Sprite 500ml,2021,7,1.4889048725003096
Zero Sprite 500ml,2021,8,4.645727227294135
Zero Sprite 500ml,2021,9,5.327926002119964
Zero Sprite 500ml,2021,10,4.573900192088239
Zero Sprite 500ml,2021,11,6.335791567498551
Zero Sprite 500ml,2021,12,7.271924072636947
Zero Sprite 500ml,2022,1,14.69158317652022
Zero Sprite 500ml,2022,2,4.248722409757651
Zero Sprite 500ml,2022,3,5.642410733389411
Zero Sprite 500ml,2022,4,3.833472102338746
Zero Sprite 500ml,2022,5,7.388319486156091
Zero Sprite 500ml,2022,6,8.985328658432461
Zero Sprite 500ml,2022,7,3.0853637767017474
Zero Sprite 500ml,2022,8,6.168140980131051
Zero Sprite 500ml,2022,9,7.08671596558287
Zero Sprite 500ml,2022,10,5.334877378540501
Zero Sprite 500ml,2022,11,7.559603581963186
Zero Sprite 500ml,2022,12,11.470170639204362
sprite lite,2021,1,3.4973837117830167
sprite lite,2021,2,5.2919392037955015
sprite lite,2021,3,2.82521546025447
sprite lite,2021,4,5.34794545053253
sprite lite,2021,5,0.4881709728844682
sprite lite,2021,6,3.8251337359009847
sprite lite,2021,7,0.0
sprite lite,2021,8,2.6809866902547985
sprite lite,2021,9,3.068974427203082
sprite lite,2021,10,4.297953313939103
sprite lite,2021,11,0.0
sprite lite,2021,12,0.6386245848738276
sprite lite,2022,1,3.4715581621859557
sprite lite,2022,2,5.765159773813882
sprite lite,2022,3,6.50790720837006
sprite lite,2022,4,5.747389431000431
sprite lite,2022,5,0.0
sprite lite,2022,6,4.375767654265788
sprite lite,2022,7,0.0
sprite lite,2022,8,6.550190657232941
sprite lite,2022,9,3.4902103683957777
sprite lite,2022,10,6.467736929288778
sprite lite,2022,11,0.0
sprite lite,2022,12,0.0
