beverage,year,month,quantity
Fanta 500ml,2022,9,1.54
Fuze Diet Apricot 500ml,2022,9,7.62
Fuze Tea Apricot 500ml,2022,9,4.13
Grape 500ml,2022,9,1.9
Grapefruit 500ml,2022,9,1.68
Sprite 500ml,2022,9,0.22
Zero Sprite 500ml,2022,9,4.82
sprite lite,2022,9,2.91
Coca Cola Classic 500ml,2022,10,32.46
Coca Cola Zero 500ml,2022,10,21.98
Diet Coca Cola 500ml,2022,10,6.59
Fanta 500ml,2022,10,1.54
Fuze Diet Apricot 500ml,2022,10,7.53
Fuze Tea Apricot 500ml,2022,10,4.13
Grape 500ml,2022,10,1.9
Grapefruit 500ml,2022,10,1.74
Sprite 500ml,2022,10,0.22
Zero Sprite 500ml,2022,10,4.98
sprite lite,2022,10,2.94
Coca Cola Classic 500ml,2022,11,33.28
Coca Cola Zero 500ml,2022,11,22.96
Diet Coca Cola 500ml,2022,11,7.94
Fanta 500ml,2022,11,1.5
Fuze Diet Apricot 500ml,2022,11,8.41
Fuze Tea Apricot 500ml,2022,11,4.58
Grape 500ml,2022,11,1.99
Grapefruit 500ml,2022,11,1.76
Sprite 500ml,2022,11,0.23
Zero Sprite 500ml,2022,11,6.34
sprite lite,2022,11,2.97
Coca Cola Classic 500ml,2022,12,33.54
Coca Cola Zero 500ml,2022,12,23.27
Diet Coca Cola 500ml,2022,12,8.14
Fanta 500ml,2022,12,1.52
Fuze Diet Apricot 500ml,2022,12,8.29
Fuze Tea Apricot 500ml,2022,12,4.51
Grape 500ml,2022,12,2.01
Grapefruit 500ml,2022,12,1.84
Sprite 500ml,2022,12,0.21
Zero Sprite 500ml,2022,12,6.76
sprite lite,2022,12,2.99
